Acc_ID,Limit,SEX,EDUCATION,MARRIAGE,Debt,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default payment next month
1,70100,1,3,1,44,26554,28213,28651,30670,31133,31965,2401,1200,2820,1101,1500,1300,0
2,110500,2,3,1,37,114098,109614,87380,49525,49225,48968,5623,9860,1741,1704,1736,1894,0
3,100300,1,1,1,42,89141,86045,71916,65693,63835,18660,4,3515,6300,18,765,0,0
4,180400,2,2,2,47,1909,2458,7005,3064,2158,9331,2460,6997,3064,2163,9331,0,0
5,240300,2,1,2,38,7288,5271,5121,7113,7113,4178,1266,1000,2000,2500,2000,5000,0
6,360400,1,2,1,36,-8,-4,0,-9,1943,2500,2,0,0,1952,2500,0,1
7,340200,2,1,2,31,24402,27796,6105,2272,4336,2581,27807,6097,2272,4339,2581,1865,0
8,150100,2,2,1,40,5200,4182,7453,19997,4095,52207,4189,7447,20013,4100,25869,0,0
9,90400,2,3,1,49,1105,-9,21823,316,632,316,3,22146,0,636,0,7816,0
10,150200,2,2,1,28,5878,6645,7414,8147,8054,7819,1273,1284,1271,426,283,484,0
11,10100,2,3,1,54,4480,4277,4072,3856,4390,4171,2,0,0,901,0,900,1
12,180100,2,2,2,28,88851,89735,93689,103273,104492,109818,3286,6428,13669,3820,8048,3501,1
13,30500,2,2,2,27,305,305,306,1126,826,676,6,0,828,4,0,31496,0
14,300300,2,1,2,31,11505,5,6,1780,0,0,7,0,1780,4,0,0,0
15,40100,2,1,2,25,5248,7201,6605,5552,4081,3232,7199,6597,5552,4081,3232,8390,0
16,50400,1,2,1,46,50302,49949,48039,32097,31450,29695,1941,1547,1464,1081,1225,1500,0
17,500100,1,1,1,45,14137,35819,20095,28077,132588,115442,35825,18,28077,132590,28500,20000,0
18,120100,2,1,2,34,18655,19849,20915,21560,22214,22845,1502,1400,1000,1001,1000,2000,1
19,240300,2,2,1,36,6171,5,9,0,0,0,2,0,0,1,0,0,0
20,170400,1,2,1,41,142511,143344,125871,112300,110371,113685,5001,20000,6000,5001,5000,3000,0
21,100400,1,2,1,39,15790,8247,10104,11636,6649,8649,2001,2000,2007,2001,2000,5000,0
22,70500,2,2,1,38,67377,70895,66788,67266,66431,67046,6045,0,2975,2506,2590,2610,0
23,110500,1,2,1,39,42620,42234,42221,41405,40846,40385,1680,2023,1574,1378,1468,1649,0
24,260400,1,1,2,40,3957,3958,3961,3953,16466,14246,3954,3953,3953,16469,2000,5217,0
25,100500,2,1,2,,16605,14419,11315,11139,11361,9816,1546,1124,495,500,758,0,0
26,200300,2,1,1,51,2075,3255,7,1500,750,750,2507,0,2250,0,750,845,0
27,280200,1,1,2,42,5820,14661,8977,5747,11927,40170,3684,9059,5787,11988,40370,8314,0
28,360400,1,1,2,34,57713,23712,11856,12533,7477,7718,23720,11850,13898,7481,7718,168350,0
29,50500,2,2,1,41,41603,36000,33068,32663,29608,28939,1829,1593,1458,1190,1198,1114,0
30,240500,2,1,2,41,1846,769,-6,-13,687,-44,8,0,0,704,0,0,0
31,240500,2,2,1,38,1,5,7,0,0,0,1,0,0,3,0,0,0
32,140100,2,2,2,39,143119,140960,1883,1876,1876,3372,6407,1876,1876,1881,3372,104005,0
33,100500,2,2,1,35,23385,22727,24918,24210,26103,27554,5,2569,0,2291,2028,0,0
34,220400,1,1,2,33,100229,102108,103709,103673,99429,93487,5207,5500,4700,4002,4000,4000,0
35,130400,2,2,1,48,123897,120457,129143,129956,130946,130814,5,12200,4500,4504,5000,0,1
36,160500,2,2,2,35,161776,172637,168547,164310,162681,163005,15003,0,0,6102,12300,6100,0
37,100100,2,2,2,30,72465,70715,72439,74322,74496,76058,4,3462,3700,2004,2760,2776,1
38,400300,1,2,2,28,15333,8631,11477,10745,20737,9545,2502,10009,1437,1105,510,959,0
39,30100,2,2,2,30,20219,19612,21784,22124,22622,23002,3,2500,1000,1001,900,900,0
40,20100,1,2,1,34,18709,17488,19518,18828,0,0,1278,3081,0,2,0,0,1
41,430200,1,1,1,41,6116,10553,31409,417588,3414,4761,10595,31448,417588,3415,4761,15331,0
42,70400,2,3,2,43,69365,71780,70058,70415,48405,46514,6006,0,3000,1003,1500,2000,1
43,60400,1,3,2,48,61553,63025,16991,37318,18352,17869,2704,1500,2000,1000,824,333,0
44,280100,1,2,1,51,94918,96843,98884,100899,102900,105057,3504,3600,3666,3683,3815,3900,0
45,200500,2,1,1,41,6550,9394,18481,1016,4934,7749,9426,14068,3,4948,7770,23918,0
46,30500,1,1,2,33,28403,18555,13205,13222,14620,17376,2087,1196,1000,2004,3000,5000,0
47,50100,2,2,1,34,2,5,6,0,0,0,5,0,0,5,0,0,1
48,330400,2,2,1,44,0,8228,3005,207,-3,500,15456,0,209,7,503,0,1
49,80200,1,2,1,47,79657,80387,61821,30457,30477,30506,3218,2800,1200,1303,1700,1700,0
50,540100,1,6,2,50,83726,86035,82867,20879,3698,209167,3543,4380,2067,568,207019,6716,0
51,30200,1,2,1,37,18815,18230,22636,21988,21057,25412,3,5000,0,0,5000,0,0
52,150200,1,3,1,66,56856,58036,59210,60304,61650,0,2695,2730,2680,2851,0,0,0
53,80300,2,2,2,34,47872,31930,738,55541,56703,57833,1926,731,56000,2057,2070,4447,0
54,10400,1,3,2,26,-367,4258,1784,780,780,0,5258,1500,780,3,0,0,0
55,240400,1,2,1,49,3976,788,6,0,3853,29252,790,0,0,3858,29252,16747,1
56,20500,1,2,2,39,26289,23827,22929,22140,19170,17170,2,1500,18,2384,0,0,0
57,500100,1,1,1,34,2908,-105,-101,-310,82690,84529,16,0,0,83002,3000,4561,0
58,210100,2,1,1,48,202506,173237,117134,212656,107808,63049,7083,6000,6000,5005,3000,6000,0
59,50200,1,2,2,35,47365,48360,49724,49736,17599,16753,1784,2140,1161,513,503,500,1
60,50300,1,2,2,34,23143,28207,30616,30227,18413,17195,5497,3202,3502,3202,2500,3000,0
61,10500,1,1,1,43,6860,9756,9460,9169,10056,8559,3007,0,0,1006,0,500,0
